
=== ORIGINAL: Original PDF/Dummy App (5).pdf ===
  L: (382.8, 277.4) -> (382.8, 340.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (495.5, 277.4) -> (495.5, 340.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (495.5, 277.4) -> (495.5, 340.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (163.2, 277.4) -> (163.2, 340.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5609999895095825
  L: (163.2, 277.4) -> (163.2, 340.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5609999895095825
  L: (297.6, 277.4) -> (297.6, 340.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5609999895095825
  L: (297.6, 277.4) -> (297.6, 340.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5609999895095825
  L: (432.2, 277.4) -> (432.2, 340.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5609999895095825
  L: (432.2, 277.4) -> (432.2, 340.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5609999895095825
Found 83 items in range.
